Ligas,Equipo,Nombre,Dorsal,Edad,Nacionalidades,Valor de mercado,concat_id,matched_name,score,full_name
La Liga,Real Madrid,Kepa Arrizabalaga,25,29,Espana,20000000,La Liga-Real Madrid-Kepa Arrizabalaga,La Liga-Real Madrid-Kepa Arrizabalaga Revuelta,95,La Liga-Real Madrid-Kepa Arrizabalaga Revuelta
La Liga,Real Madrid,Andriy Lunin,13,25,Ucrania,8000000,La Liga-Real Madrid-Andriy Lunin,La Liga-Real Madrid-Andrii Lunin,97,La Liga-Real Madrid-Andrii Lunin
La Liga,Real Madrid,Eder Militao,3,26,"Brasil, Espana",70000000,La Liga-Real Madrid-Eder Militao,La Liga-Real Madrid-Eder Gabriel Militao,95,La Liga-Real Madrid-Eder Gabriel Militao
La Liga,Real Madrid,David Alaba,4,31,Austria,30000000,La Liga-Real Madrid-David Alaba,La Liga-Real Madrid-David Olatukunbo Alaba,95,La Liga-Real Madrid-David Olatukunbo Alaba
La Liga,Real Madrid,Antonio Rudiger,22,31,"Alemania, Sierra Leona",25000000,La Liga-Real Madrid-Antonio Rudiger,La Liga-Real Madrid-Antonio Rudiger,100,La Liga-Real Madrid-Antonio Rudiger
La Liga,Real Madrid,Ferland Mendy,23,28,"Francia, Senegal",20000000,La Liga-Real Madrid-Ferland Mendy,La Liga-Real Madrid-Ferland Sinna Mendy,95,La Liga-Real Madrid-Ferland Sinna Mendy
La Liga,Real Madrid,Daniel Carvajal,2,32,Espana,12000000,La Liga-Real Madrid-Daniel Carvajal,La Liga-Real Madrid-Daniel Carvajal Ramos,95,La Liga-Real Madrid-Daniel Carvajal Ramos
La Liga,Real Madrid,Lucas Vazquez,17,32,Espana,5000000,La Liga-Real Madrid-Lucas Vazquez,La Liga-Real Madrid-Lucas Vazquez Iglesias,95,La Liga-Real Madrid-Lucas Vazquez Iglesias
La Liga,Real Madrid,Aurelien Tchouameni,18,24,"Francia, Camerun",90000000,La Liga-Real Madrid-Aurelien Tchouameni,La Liga-Real Madrid-Aurelien Djani Tchouameni,95,La Liga-Real Madrid-Aurelien Djani Tchouameni
La Liga,Real Madrid,Federico Valverde,15,25,"Uruguay, Espana",100000000,La Liga-Real Madrid-Federico Valverde,La Liga-Real Madrid-Federico Santiago Valverde Dipetta,95,La Liga-Real Madrid-Federico Santiago Valverde Dipetta
La Liga,Real Madrid,Eduardo Camavinga,12,21,"Francia, Congo",90000000,La Liga-Real Madrid-Eduardo Camavinga,La Liga-Real Madrid-Eduardo Celmi Camavinga,95,La Liga-Real Madrid-Eduardo Celmi Camavinga
La Liga,Real Madrid,Toni Kroos,8,34,Alemania,14000000,La Liga-Real Madrid-Toni Kroos,La Liga-Real Madrid-Toni Kroos,100,La Liga-Real Madrid-Toni Kroos
La Liga,Real Madrid,Luka Modric,10,38,Croacia,10000000,La Liga-Real Madrid-Luka Modric,La Liga-Real Madrid-Luka Modric,100,La Liga-Real Madrid-Luka Modric
La Liga,Real Madrid,Jude Bellingham,5,20,"Inglaterra, Irlanda",180000000,La Liga-Real Madrid-Jude Bellingham,La Liga-Real Madrid-Jude Victor William Bellingham,95,La Liga-Real Madrid-Jude Victor William Bellingham
La Liga,Real Madrid,Brahim Diaz,21,24,"Espana, Marruecos",20000000,La Liga-Real Madrid-Brahim Diaz,La Liga-Real Madrid-Brahim Abdelkader Diaz,95,La Liga-Real Madrid-Brahim Abdelkader Diaz
La Liga,Real Madrid,Arda Guler,24,19,Turquia,15000000,La Liga-Real Madrid-Arda Guler,La Liga-Real Madrid-Arda Guler,100,La Liga-Real Madrid-Arda Guler
La Liga,Real Madrid,Rodrygo,11,23,"Brasil, Espana",100000000,La Liga-Real Madrid-Rodrygo,La Liga-Real Madrid-Rodrygo Silva de Goes,90,La Liga-Real Madrid-Rodrygo Silva de Goes
La Liga,Villarreal,Filip Jorgensen,13,21,"Dinamarca, Suecia",15000000,La Liga-Villarreal-Filip Jorgensen,La Liga-Villarreal-Filip Jorgensen,100,La Liga-Villarreal-Filip Jorgensen
La Liga,Villarreal,Jorge Cuenca,5,24,Espana,5000000,La Liga-Villarreal-Jorge Cuenca,La Liga-Villarreal-Jorge Cuenca Barreno,95,La Liga-Villarreal-Jorge Cuenca Barreno
La Liga,Villarreal,Yerson Mosquera,2,22,Colombia,3500000,La Liga-Villarreal-Yerson Mosquera,La Liga-Villarreal-Yerson Mosquera Valdelamar,95,La Liga-Villarreal-Yerson Mosquera Valdelamar
La Liga,Villarreal,Eric Bailly,12,29,Costa de Marfil,3400000,La Liga-Villarreal-Eric Bailly,La Liga-Villarreal-Eric Bertrand Bailly,95,La Liga-Villarreal-Eric Bertrand Bailly
La Liga,Villarreal,Raul Albiol,3,38,Espana,2500000,La Liga-Villarreal-Raul Albiol,La Liga-Villarreal-Raul Albiol Tortajada,95,La Liga-Villarreal-Raul Albiol Tortajada
